Nationality,nation_logo_url,nation_flag_url
England,https://cdn.sofifa.com/teams/113002/60.png,https://cdn.sofifa.com/flags/gb-eng.png
France,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
Netherlands,https://cdn.sofifa.com/teams/113011/60.png,https://cdn.sofifa.com/flags/nl.png
Australia,https://cdn.sofifa.com/teams/112998/60.png,https://cdn.sofifa.com/flags/au.png
United States,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
Germany,https://cdn.sofifa.com/teams/113004/60.png,https://cdn.sofifa.com/flags/de.png
Norway,https://cdn.sofifa.com/teams/113007/60.png,https://cdn.sofifa.com/flags/no.png
Canada,https://cdn.sofifa.com/teams/113000/60.png,https://cdn.sofifa.com/flags/ca.png
Spain,https://cdn.sofifa.com/teams/113012/60.png,https://cdn.sofifa.com/flags/es.png
Scotland,https://cdn.sofifa.com/teams/113984/60.png,https://cdn.sofifa.com/flags/gb-sct.png
Sweden,https://cdn.sofifa.com/teams/113008/60.png,https://cdn.sofifa.com/flags/se.png
New Zealand,https://cdn.sofifa.com/teams/113258/60.png,https://cdn.sofifa.com/flags/nz.png
Mexico,https://cdn.sofifa.com/teams/113010/60.png,https://cdn.sofifa.com/flags/mx.png
Brazil,https://cdn.sofifa.com/teams/112999/60.png,https://cdn.sofifa.com/flags/br.png
China PR,https://cdn.sofifa.com/teams/113001/60.png,https://cdn.sofifa.com/flags/cn.png
Belgium,https://cdn.sofifa.com/teams/113394/60.png,https://cdn.sofifa.com/flags/be.png
Portugal,https://cdn.sofifa.com/teams/115682/60.png,https://cdn.sofifa.com/flags/pt.png
